ID,Screen / State,Screen Text (Figma),AI Voice,Expected User Response & Variations,AI Response,System Action,Partial / Ambiguous / Edge Cases,Notes,MP3?,How Audio Works
ONBOARD-02,"Fork
Main flow","""Let's build your plan.""
""How would you like to set up your habits today?""

Card 1: ""I'm new to habit tracking"" - ""I will help you step by step""
Card 2: ""I already have experience"" - ""Tell me and I'll organize it""

Button: ""Continue""","""Quick question - have you tracked habits before, or is this new for you? Either way is great. I just want to know the best way to guide you.""","NEW:
""I'm new to this""
""Never done it""
""First time""
""No, not really""
""I've tried but never stuck with it""

EXPERIENCED:
""Yeah I've done this before""
""I use [app name] right now""
""I already track my habits""
""I have a list""

AMBIGUOUS:
""Sort of""
""A little bit""
""I've tried apps before but...""

OR Tap: Card -> Continue","IF NEW:
""That's great. And honestly - the fact that you're here means something. A lot of people think about making changes. You actually did something about it. So here's how this works: I'm going to help you pick a few small things - not a huge list, just what matters. And then every morning and every night, we check in. Between 30 seconds and a couple of minutes, depending on how much you want to share. That's it. We're not fighting the part of you that has resistance. We're strengthening the part of you that showed up today. Let's go.""

IF EXPERIENCED:
""Nice - you've already been putting in the work. That says a lot. Let's bring your habits over and get you set up.""","1. Parse intent: new vs experienced
2. If new: onboarding_path = 'beginner', navigate to ONBOARD-03
3. If experienced: onboarding_path = 'advanced', navigate to ADV-01
4. Log PostHog: select_onboarding_path {path, input_method}","AMBIGUOUS (""sort of"" / ""a little""):
AI: ""Sounds like you've dipped your toes in. Would you like me to guide you step by step, or do you already have a list of habits you want to bring over?""

""I've tried but never stuck"":
AI: ""That's actually really common. Let me guide you step by step - we'll do it differently this time.""
-> Route to beginner

MENTIONS SPECIFIC APP:
AI: ""Nice. Want to bring those habits over? Just read them to me and I'll set everything up.""
-> Route to advanced

""I don't have a list, I just know what I want"":
AI: ""No problem. Just tell me one at a time from memory. What's the first habit?""
-> Route to ADV-01 step-by-step mode","NOTE: Figma labels to be updated from 'Keep it simple'/'Advanced input everything' to 'I'm new to habit tracking'/'I already have experience with habit tracking'.

'Advanced input' removed from all terminology.",yes,"prompt: pre-recorded
responses: real-time"
Step 3 of 7: Category Selection,,,,,,,,,,
ONBOARD-03,"Category selection
Main flow","""What feels most worth improving right now?""
""Pick one or two areas. You can always add more later.""

Category cards with images:
Sleep Better / Move More / Eat Better / Feel Energized / Reduce Stress / Improve Focus / Break Bad Habits / Get More Organized

Button: ""Continue""","""So - what feels most worth improving right now? Don't overthink it. There's no wrong answer. Pick the one that pulls you. We recommend starting with one - you can always add more later.""","SINGLE CATEGORY:
""Sleep"" / ""I need better sleep"" / ""My sleep is terrible""
""Exercise"" / ""Working out"" / ""I need to move more""
""Eating"" / ""My diet"" / ""I eat like crap""
""Energy"" / ""I'm always tired""
""Stress"" / ""I'm so stressed""
""Focus"" / ""I can't concentrate"" / ""Procrastination""
""Bad habits"" / ""I want to quit smoking"" / ""I'm on my phone too much""
""Organization"" / ""I'm a mess"" / ""I need structure""

MULTIPLE: ""Sleep and stress"" / ""A few things honestly""

OR Tap: Card -> Continue","SLEEP: ""Sleep - yeah. That's the foundation of everything else. When sleep gets better, energy, focus, mood - all of it follows. You picked well.""

MOVE MORE: ""Movement - great call. Even small amounts change how you feel the rest of the day. And it builds momentum for everything else.""

EAT BETTER: ""Eating - that's a smart place to start. What you put in your body affects everything from energy to sleep to mood. Good pick.""

FEEL ENERGIZED: ""Energy - yeah, that's the one that touches everything. Let's figure out what's draining you and fix it at the source.""

REDUCE STRESS: ""Stress - that's a big one. The good news is a few small habits can shift that more than you'd think.""

IMPROVE FOCUS: ""Focus - I hear that a lot. The good news is focus isn't about willpower, it's about environment. Let's set you up.""

BREAK BAD HABITS: ""Breaking a bad habit - recognizing it is the first step to changing it. Whether it's something big or small, let's find the right approach for you.""

GET ORGANIZED: ""Getting organized - that's the one that makes everything else easier. When your systems work, you stop carrying everything in your head.""

MULTIPLE SELECTED: ""I can see a few areas calling you. I'd actually recommend starting with just one - it sets you up for success. Which one feels most urgent right now?""","1. If single category: save to user_onboarding.selected_categories[]
2. If multiple selected: prompt to narrow to one
3. Query habits DB: fetch subcategories for selected category
4. Navigate to ONBOARD-04
5. Log PostHog: select_category {category, input_method, attempted_multiple: bool}","MULTIPLE CATEGORIES: AI redirects to one. ""We recommend starting with one category to set you up for success. Which feels most urgent right now?""

VAGUE: ""Everything"" / ""All of it"" / ""I don't know""
AI: ""That's normal - it can feel like a lot. If you had to pick just one thing that would make tomorrow better than today, what would it be?""

MENTIONS SPECIFIC HABIT instead of category: ""I want to stop smoking""
AI: Map to 'Break Bad Habits' category. ""That falls under breaking bad habits. Let's go there.""

CATEGORY NOT RECOGNIZED:
AI: ""I'm not sure I caught that. Can you pick from the options on screen?""","One category only. If they try more, gently redirect.

Every category has a unique coaching response - not generic praise.

FIGMA UPDATE NEEDED: Change 'Pick one or two areas' to 'Pick one area' - we decided on one category only.",yes,"prompt: pre-recorded
responses: real-time"
Step 4 of 7: Subcategory,,,,,,,,,,
ONBOARD-04,"Subcategory
Main flow","""Let's narrow it down""
""Choose 1 or 2 specific goals to help you [category].""

Category tag shown
Subcategory options
Button: ""Continue""","""OK, within [category] - what's the specific thing? For example, [give 2-3 subcategory examples from the database]. Pick the one that hits hardest.""","CLEAR: ""I can't fall asleep"" / ""I want to wake up earlier"" / ""My sleep is inconsistent""

VAGUE: ""All of it"" / ""Just sleep in general""

OR Tap: Select subcategory -> Continue","[See Section 19: SUBCATEGORY VOICE RESPONSES for all 29 subcategory-specific responses]

Each subcategory has a unique coaching response that plays here.","1. Save subcategory to user_onboarding.selected_subcategories[]
2. Query habits DB: fetch habits WHERE category AND subcategory match
3. Navigate to ONBOARD-05
4. Log PostHog: select_subcategory {category, subcategory, input_method}","VAGUE: ""All of it"" / ""everything""
AI: ""I get it. If you had to pick just one - what bothers you the most? The one that, if it got better, would change your day?""

MULTIPLE: User picks 2 subcategories
Handle same as category - ""Let's start with the one that feels most urgent.""

SUBCATEGORY NOT IN LIST:
AI: ""That's a great one. Let me see what habits I can suggest for that."" -> Route to custom habit creation if needed.","AI voice prompt should dynamically include example subcategories from the database for the selected category.

NOTE: '[give 2-3 subcategory examples]' is a dynamic template. LLM populates from habits database based on selected category.",yes,"prompt: pre-recorded
responses: real-time"
Step 5 of 7: Habit Selection,,,,,,,,,,
ONBOARD-05,"Habit selection
Main flow","""Here's a good place to start""
""Select 1 to 3 daily habits to build your foundation.""

Dropdown: subcategory
Habit list from database
""Create your own habit!"" (star)
Button: ""Continue""","""Here are a few habits that really help with this. Pick what feels doable. Not heroic. Not impressive. Doable. Because one habit done consistently beats five that don't stick. You can also create your own if none of these fit.""","SELECT FROM LIST:
""No screens after 10"" / ""The first one"" / ""That one""
""Let's do the second and third one""

CUSTOM:
""None of these fit"" / ""I have my own idea"" / ""Can I make my own?""
""I want to read for 20 minutes before bed""

TOO MANY:
""All of them"" / ""I want to do all five""

OR Tap: Select 1-3 habits -> Continue","SELECTED: ""Solid. [Specific comment about the habit]. Let's set it up.""

CUSTOM: ""No problem. Tell me the habit you have in mind and I'll set it up for you.""

TOO MANY (more than 3): ""I love the ambition. But I'd actually recommend starting with 2-3. Get those locked in first, then we add more. Which ones feel most important?""

MORE THAN 5: ""That's a lot to take on at once. Let's start with 3 that really matter. Once those become second nature, we'll add the rest. Pick your top 3.""","1. Save selected habit IDs to user_onboarding.selected_habits[]
2. If custom: capture habit name via voice/text, auto-assign category/subcategory
3. Validate 1-3 selected (soft limit), warn at 4+, hard recommend max 5
4. Navigate to ONBOARD-06 with first habit
5. Log PostHog: select_habit {habit_names[], count, has_custom, input_method}","""The first one"" / ""That one"" without clarity:
AI: ""Which one specifically? Can you say the name or tap it?""

User says a habit not in the list:
AI: ""I don't see that in the suggestions, but I can add it as a custom habit. What's the full name?""

User seems overwhelmed:
AI: ""If you're not sure, just pick one. Seriously - one is a perfect start. You can always add more from the home screen.""

ZERO HABITS SELECTED:
If user tries to Continue with nothing selected:
AI: ""We need at least one habit to get started. Even just one - pick the one that feels most important right now.""
System: Block Continue button until at least 1 habit selected.",1-3 habits recommended. 4+ gently discouraged. 5+ coach intervenes.,yes,"prompt: pre-recorded
responses: real-time"
Step 6 of 7: Habit Configuration,,,,,,,,,,
ONBOARD-06,"Configure habit
Main flow","""What specifically do you want to improve?""
""Choose one option""

Habit name
""Customize your habit""
WHEN? Time picker
HOW OFTEN? Day toggles S M T W T F S
REMINDERS toggle
Button: ""Next Habit""","""When do you want to do [habit name], and how often? You can say something like 'every night at 9:30' or set it up on screen.""","FULL: ""Every day at 9:30 PM with a reminder""
""Weekdays at 7 AM, no reminder""
""Monday Wednesday Friday at 6 PM""

PARTIAL:
""Every day"" (missing time)
""At 9 PM"" (missing frequency)
""Evenings"" (missing specific time)
""Weekdays"" (missing time)

REMINDER SPECIFIC:
""Remind me"" / ""Set a reminder"" / ""Yeah, reminders""
""No reminders"" / ""Don't remind me"" / ""I'll remember""

VARIATIONS:
""Every day"" = all 7 days
""Daily"" = all 7 days
""Weekdays"" = M T W T F
""Weekends"" = S S
""Every other day"" = needs clarification
""Mornings"" = needs specific time
""Before bed"" = needs specific time","FULL: ""Done - every day at 9:30 PM, with a reminder. We've got you.""

NO REMINDER: ""Got it - no reminder. You can always turn that on later in Settings.""

MISSING TIME: ""Every day works. What time specifically?""

MISSING FREQUENCY: ""9 PM, got it. And how often - every day, weekdays, specific days?""

AMBIGUOUS TIME: ""When you say 'evenings,' what time works? Like 8 PM, 9 PM?""","1. Parse voice: extract {frequency, time, reminder_preference}
2. Auto-fill UI in real-time
3. On 'Next Habit': save to Supabase habits {user_id, habit_id, schedule_time, frequency_days[], reminder_enabled}
4. If more habits: loop ONBOARD-06
5. If last habit: navigate to ONBOARD-07 (review)
6. Schedule push notification if reminder_enabled
7. Log PostHog: configure_habit {habit_name, frequency, has_reminder, input_method}","PARTIAL ANSWER - AI identifies what's missing:
""Got it - every day. What time should I set that for?""
""9 PM with a reminder. And which days - every day or specific ones?""

""Every other day"": ""Every other day - got it. Which day do you want to start? I'll alternate from there.""

""Before bed"" / ""In the morning"": ""What time is that for you? Everyone's different.""

""I'm not sure about the time"": ""No problem - I'll set it for [reasonable default based on habit type, e.g. 9 PM for sleep habits, 7 AM for morning habits]. You can always change it later.""

USER CHANGES MIND: ""Actually make that 10 PM"" - ""Updated to 10 PM.""","Voice auto-fills form in real-time.

Reasonable defaults by habit type:
Sleep habits: 9-10 PM
Morning habits: 7-8 AM
Exercise: 6-7 PM
Mindfulness: 7-8 AM",no,real-time
Review & Confirm Habits,,,,,,,,,,
ONBOARD-07,Review habits,"""Here's a good place to start""

Configured habits listed with schedules and day toggles

Button: ""Confirm & Continue""","""Here's what we've set up. Does everything feel right, or should we tweak something?""","CONFIRM: ""Looks good"" / ""Perfect"" / ""Yes"" / ""That's right""

EDIT: ""Change [habit] to [time]"" / ""Actually, make the first one weekdays only"" / ""Remove the last one""

QUESTION: ""Can I add more later?"" / ""Is that enough?""

ADD: ""I want to add another habit"" / ""Another one"" / ""One more"" / ""Can I add another?""","CONFIRM: ""Locked in.""

EDIT: ""Updated. How's that now?""

CAN I ADD MORE: ""Absolutely. You can add habits anytime from the home screen.""

IS THAT ENOUGH: ""Totally. Starting small is the smartest thing you can do. You can always add more once these feel solid.""

ADD: ""Sure - what habit would you like to add?"" -> collect name, time, frequency, reminder -> add to plan","1. Display habits from state
2. If edit via voice: parse change, update record
3. On confirm: set onboarding_state = 'journal_setup'
4. Navigate to ONBOARD-08
5. Log PostHog: confirm_habits {habit_count, edits_made}","User wants to delete a habit from the list:
AI: ""Removed. Anything else to change?""

User adds a new habit here:
AI: ""Sure - what habit do you want to add?"" -> mini habit creation flow

Multiple edits:
AI handles one at a time, confirms each.",Quick screen. Momentum matters.,yes,"prompt: pre-recorded
responses: real-time"
Step 7 of 7: Journal Setup,,,,,,,,,,
ONBOARD-08,Journal setup,"""One last thing for your mind""
""We highly recommend adding a quick daily reflection to track your mental progress.""

Daily reflection icon
YOU'LL ANSWER 3 QUICK QUESTIONS:
- What am I proud of today?
- What do I forgive myself for today?
- What am I grateful for today?

Schedule, time, day toggles, reminders
Button: ""Review My Plan""","""One more thing - and this one's powerful. A daily reflection. Three questions. Two minutes. And it compounds over time. Most people start noticing a difference within a week or two.

What you're proud of. What you forgive yourself for. What you're grateful for. These three questions change how you process your day.

Want to add it?""","YES: ""Yeah"" / ""Sure"" / ""Let's do it"" / ""Sounds good""

NO: ""No"" / ""Skip"" / ""Not right now"" / ""Maybe later""

QUESTION: ""What does it do?"" / ""How long does it take?"" / ""Can I change the questions?""","YES: ""Good call. We'll do this at the end of each day. You just talk - I'll capture everything. When do you want your reflection reminder?""

NO: ""No problem. It'll be there whenever you want it. You can always turn it on in Settings.""

WHAT DOES IT DO: ""It's a two-minute voice journal at the end of your day. Three questions that help you process what happened. Over time, it builds self-awareness in a way that surprises people. Want to try it?""

HOW LONG: ""About two minutes. Three questions, just talking. That's it.""

CAN I CHANGE: ""You can. During setup or later in Settings, you can create your own prompts.""","1. If configured: save to Supabase journals {user_id, type: 'daily_reflection', prompts[], schedule_time, frequency_days[], reminder_enabled}
2. If skipped: user_profile.journal_configured = false
3. If reminder: schedule push notification
4. Navigate to ONBOARD-09 (final plan)
5. Log PostHog: journal_setup {configured, type, input_method}","If YES but doesn't set time:
AI: ""What time works for your reflection? Most people do it right before bed.""

If interested but hesitant:
AI: ""You can always try it for a week and turn it off if it doesn't click. No commitment.""","'Most people start noticing a difference within a week or two' - honest, not over-promising.",yes,"prompt: pre-recorded
responses: real-time"
Final Plan + Founding User Moment,,,,,,,,,,
ONBOARD-09,"Starting plan
Final screen","""Your starting plan""
""Start with these habits. You can always add more later.""

HABIT: [names] with cadences
JOURNAL: if configured

Button: ""Start plan""
""Edit plan""","""Here's your starting plan. It's simple - and that's on purpose. This is your foundation. As you show up, we'll grow it together.

And [Name] - as one of the first 50 people to use Guided Growth, I want you to know: we're really proud of what we've built, and it's going to get so much better. Your experience here, your feedback - it shapes where this goes. Our goal is to contribute to your life. So thank you for being here.

Ready?""","READY: ""Let's go"" / ""Yes"" / ""Ready"" / ""Start""

EDIT: ""Actually, change..."" / ""Let me fix something"" / ""Edit""

OR Tap: Start plan / Edit plan","READY: ""You're in, [Name]. Your first check-in is on the home screen. Talk to you soon.""

EDIT: ""No problem. What do you want to change?"" -> navigate to edit flow","1. On 'Start plan': onboarding_state = 'complete', onboarding_completed_at = now()
2. Activate all habits (status = 'active')
3. Activate journal if configured
4. Schedule morning + evening check-in reminders
5. Navigate to Home (first visit - see HOME-FIRST)
6. Log PostHog: complete_onboarding {path: 'beginner', habit_count, journal_configured, duration_seconds}","If user says something emotional like ""I'm excited"" or ""I hope this works"":
AI: ""It will. Show up, and it will.""

If user seems hesitant: ""You're ready. We'll take it one day at a time.""",Founding user message comes HERE - emotional peak before entering app.,no,real-time
5. ONBOARDING - ADVANCED PATH,,,,,,,,,,
Step 1: Tell Me Your Habits,,,,,,,,,,
ADV-01,"Habit input
(Guided step-by-step)","""Tell me what you want to achieve""
""You can say or type as much as you want. We'll organize it for you.""

Large mic button
Example text
Button: ""Done""
Skip link","""OK - let's bring your habits over. Here's the easiest way: if you have them somewhere - another app, a note on your phone, a list - just pull it up. Then tell me each habit one at a time. For each one, I need four things: the name, how often, what time, and if you want a reminder.

This setup takes about three to five minutes - probably the longest we'll ever talk. After this, your check-ins are between 30 seconds and a couple of minutes, depending on how much you want to share. So let's take the time now to get it right.

Go ahead - what's the first habit?""","STRUCTURED: ""Sleep by 11 PM, every day, reminder at 10:30""
UNSTRUCTURED: ""I want to drink more water"" / ""Meditation""
FULL LIST: ""I want to drink water, meditate, read before bed, and gym three times a week""
VAGUE: ""I just want to be healthier""","STRUCTURED (all 4): ""Got it - [habit] at [time], [frequency], reminder [on/off]. What's next?""
MISSING INFO: See edge cases
AFTER ALL: ""OK - is that everything, or do you have more?""
WHEN DONE: ""Got it. Give me a second to organize these...""","1. For each habit: parse {name, frequency, time, reminder}
2. If all 4: save to temp state, ask for next
3. If missing: ask specifically
4. On 'Done': send to LLM for structuring
5. Navigate to ADV-02
6. Log PostHog: advanced_habit_input {habit_count, input_method}","MISSING NAME: ""What's the habit called?""
MISSING TIME: ""What time do you do [habit]?""
MISSING FREQUENCY: ""How often - every day, weekdays, specific days?""
MISSING REMINDER: ""Want me to remind you?""
VAGUE: ""Can you be more specific? Like sleep, exercise, eating, stress?""
VERY VAGUE: route to beginner
NO LIST: ""No problem. Just tell me one at a time from memory.""
MORE THAN 5: ""I'd recommend starting with 3-5. Which are most important?""
SKIP: ""You need at least one habit. Even one is a great start. What's the first?""","AI MUST get all 4 pieces for each habit. Not done until captured.
At least 1 habit required before proceeding.",yes,"prompt: pre-recorded
responses: real-time"
Step 2: AI-Organized Plan,,,,,,,,,,
